time [s],adc1_ema,adc1_med,adc[0],servo1.encoder.angle,servo1.encoder.angularVelocity,servo1.positionSetpoint,
3e-07,0,0,0,3.9472e+06,0,3.93216e+06,
0.01,0,0,0,3.9472e+06,0,3.93216e+06,
0.0200629,0,0,0,3.9472e+06,0,3.93216e+06,
0.03,0,0,0,3.9472e+06,0,3.93216e+06,
0.04,0,0,0,3.9472e+06,0,3.93216e+06,
0.0500001,0,0,0,3.9472e+06,0,3.93216e+06,
0.0600806,0,0,0,3.9472e+06,0,3.93216e+06,
0.0700001,0,0,0,3.9472e+06,0,3.93216e+06,
0.08,0,0,0,3.9472e+06,0,3.93216e+06,
0.0900001,0,0,0,3.9472e+06,0,3.93216e+06,
0.100062,0,0,0,3.9472e+06,0,3.93216e+06,
0.11,0,0,0,3.9472e+06,0,3.93216e+06,
0.12,0,0,0,3.9472e+06,0,3.93216e+06,
0.13,0,0,0,3.9472e+06,0,3.93216e+06,
0.14,0,0,0,3.9472e+06,0,3.93216e+06,
0.15,0,0,0,3.9472e+06,0,3.93216e+06,
0.16,0,0,0,3.9472e+06,0,3.93216e+06,
0.17,0,0,0,3.9472e+06,0,3.93216e+06,
0.180094,0,0,0,3.9472e+06,0,3.93216e+06,
0.19,0,0,0,3.9472e+06,0,3.93216e+06,
0.2,0,0,0,3.9472e+06,0,3.93216e+06,
0.21,0,0,0,3.9472e+06,0,3.93216e+06,
0.220097,0,0,0,3.9472e+06,0,3.93216e+06,
0.23,0,0,0,3.9472e+06,0,3.93216e+06,
0.24,0,0,0,3.9472e+06,0,3.93216e+06,
0.25,0,0,0,3.9472e+06,0,3.93216e+06,
0.260086,0,0,0,3.9472e+06,0,3.93216e+06,
0.27,0,0,0,3.9472e+06,0,3.93216e+06,
0.28,0,0,0,3.9472e+06,0,3.93216e+06,
0.29,0,0,0,3.9472e+06,0,3.93216e+06,
0.300065,0,0,0,3.9472e+06,0,3.93216e+06,
0.31,0,0,0,3.9472e+06,0,3.93216e+06,
0.32,0,0,0,3.9472e+06,0,3.93216e+06,
0.33,0,0,0,3.9472e+06,0,3.93216e+06,
0.340082,0,0,0,3.9472e+06,0,3.93216e+06,
0.35,0,0,0,3.9472e+06,0,3.93216e+06,
0.36,0,0,0,3.9472e+06,0,3.93216e+06,
0.370726,0,0,0,3.9472e+06,0,3.93216e+06,
0.38,0,0,0,3.9472e+06,0,3.93216e+06,
0.39,0,0,0,3.9472e+06,0,3.93216e+06,
0.4,0,0,0,3.9472e+06,0,3.93216e+06,
0.41,0,0,0,3.9472e+06,0,3.93216e+06,
0.420058,0,0,0,3.9472e+06,0,3.93216e+06,
0.43,0,0,0,3.9472e+06,0,3.93216e+06,
0.44,0,0,0,3.9472e+06,0,3.93216e+06,
0.450034,0,0,0,3.9472e+06,0,3.93216e+06,
0.460103,0,0,0,3.9472e+06,0,3.93216e+06,
0.47,0,0,0,3.9472e+06,0,3.93216e+06,
0.48,0,0,0,3.9472e+06,0,3.93216e+06,
0.49,0,0,0,3.9472e+06,0,3.93216e+06,
0.500064,0,0,0,3.9472e+06,0,3.93216e+06,
0.51,0,0,0,3.9472e+06,0,3.93216e+06,
0.52,0,0,0,3.9472e+06,0,3.93216e+06,
0.53,0,0,0,3.9472e+06,0,3.93216e+06,
0.540087,0,0,0,3.9472e+06,0,3.93216e+06,
0.55,0,0,0,3.9472e+06,0,3.93216e+06,
0.56,0,0,0,3.9472e+06,0,3.93216e+06,
0.57,0,0,0,3.9472e+06,0,3.93216e+06,
0.580096,0,0,0,3.9472e+06,0,3.93216e+06,
0.59,0,0,0,3.9472e+06,0,3.93216e+06,
0.6,0,0,0,3.9472e+06,0,3.93216e+06,
0.61,0,0,0,3.9472e+06,0,3.93216e+06,
0.62,0,0,0,3.9472e+06,0,3.93216e+06,
0.63,0,0,0,3.9472e+06,0,3.93216e+06,
0.64,0,0,0,3.9472e+06,0,3.93216e+06,
0.65,0,0,0,3.9472e+06,0,3.93216e+06,
0.660077,0,0,0,3.9472e+06,0,3.93216e+06,
0.67,0,0,0,3.9472e+06,0,3.93216e+06,
0.68,0,0,0,3.9472e+06,0,3.93216e+06,
0.69,0,0,0,3.9472e+06,0,3.93216e+06,
0.700059,0,0,0,3.9472e+06,0,3.93216e+06,
0.71,0,0,0,3.9472e+06,0,3.93216e+06,
0.72,0,0,0,3.9472e+06,0,3.93216e+06,
0.73,0,0,0,3.9472e+06,0,3.93216e+06,
0.7401,0,0,0,3.9472e+06,0,3.93216e+06,
0.75,0,0,0,3.9472e+06,0,3.93216e+06,
0.76,0,0,0,3.9472e+06,0,3.93216e+06,
0.77,0,0,0,3.9472e+06,0,3.93216e+06,
0.78,0,0,0,3.9472e+06,0,3.93216e+06,
0.79,0,0,0,3.9472e+06,0,3.93216e+06,
0.800091,0,0,0,3.9472e+06,0,3.93216e+06,
0.81,0,0,0,3.9472e+06,0,3.93216e+06,
0.82,0,0,0,3.9472e+06,0,3.93216e+06,
0.83,0,0,0,3.9472e+06,0,3.93216e+06,
0.84,0,0,0,3.9472e+06,0,3.93216e+06,
0.85,0,0,0,3.9472e+06,0,3.93216e+06,
0.86,0,0,0,3.9472e+06,0,3.93216e+06,
0.87,0,0,0,3.9472e+06,0,3.93216e+06,
0.88,0,0,0,3.9472e+06,0,3.93216e+06,
0.89,0,0,0,3.9472e+06,0,3.93216e+06,
0.900075,0,0,0,3.9472e+06,0,3.93216e+06,
0.91,0,0,0,3.9472e+06,0,3.93216e+06,
0.92,0,0,0,3.9472e+06,0,3.93216e+06,
0.93,0,0,0,3.9472e+06,0,3.93216e+06,
0.94,0,0,0,3.9472e+06,0,3.93216e+06,
0.95,0,0,0,3.9472e+06,0,3.93216e+06,
0.96,0,0,0,3.9472e+06,0,3.93216e+06,
0.97,0,0,0,3.9472e+06,0,3.93216e+06,
0.980054,0,0,0,3.9472e+06,0,3.93216e+06,
0.99,0,0,0,3.9472e+06,0,3.93216e+06,
1,0,0,0,3.9472e+06,0,3.93216e+06,
1.01,0,0,0,3.9472e+06,0,3.93216e+06,
1.02,0,0,0,3.9472e+06,0,3.93216e+06,
1.03,0,0,0,3.9472e+06,0,3.93216e+06,
1.04,0,0,0,3.9472e+06,0,3.93216e+06,
1.05,0,0,0,3.9472e+06,0,3.93216e+06,
1.06007,0,0,0,3.9472e+06,0,3.93216e+06,
1.07,0,0,0,3.9472e+06,0,3.93216e+06,
1.08,0,0,0,3.9472e+06,0,3.93216e+06,
1.09,0,0,0,3.9472e+06,0,3.93216e+06,
1.10005,0,0,0,3.9472e+06,0,3.93216e+06,
1.11,0,0,0,3.9472e+06,0,3.93216e+06,
1.12,0,0,0,3.9472e+06,0,3.93216e+06,
1.13,0,0,0,3.9472e+06,0,3.93216e+06,
1.14008,0,0,0,3.9472e+06,0,3.93216e+06,
1.15,0,0,0,3.9472e+06,0,3.93216e+06,
1.16,0,0,0,3.9472e+06,0,3.93216e+06,
1.17,0,0,0,3.9472e+06,0,3.93216e+06,
1.18,0,0,0,3.9472e+06,0,3.93216e+06,
1.19,0,0,0,3.9472e+06,0,3.93216e+06,
1.2,0,0,0,3.9472e+06,0,3.93216e+06,
1.21,0,0,0,3.9472e+06,0,3.93216e+06,
1.2204,0,0,0,3.9472e+06,0,3.93216e+06,
1.23,0,0,0,3.9472e+06,0,3.93216e+06,
1.24,0,0,0,3.9472e+06,0,3.93216e+06,
1.25,0,0,0,3.9472e+06,0,3.93216e+06,
1.26013,0,0,0,3.9472e+06,0,3.93216e+06,
1.27,0,0,0,3.9472e+06,0,3.93216e+06,
1.28,0,0,0,3.9472e+06,0,3.93216e+06,
1.29,0,0,0,3.9472e+06,0,3.93216e+06,
1.30005,0,0,0,3.9472e+06,0,3.93216e+06,
1.31,0,0,0,3.9472e+06,0,3.93216e+06,
1.32,0,0,0,3.9472e+06,0,3.93216e+06,
1.33,0,0,0,3.9472e+06,0,3.93216e+06,
1.34008,0,0,0,3.9472e+06,0,3.93216e+06,
1.35,0,0,0,3.9472e+06,0,3.93216e+06,
1.36,0,0,0,3.9472e+06,0,3.93216e+06,
1.37,0,0,0,3.9472e+06,0,3.93216e+06,
1.38008,0,0,0,3.9472e+06,0,3.93216e+06,
1.39,0,0,0,3.9472e+06,0,3.93216e+06,
1.4,0,0,0,3.9472e+06,0,3.93216e+06,
1.41,0,0,0,3.9472e+06,0,3.93216e+06,
1.42,0,0,0,3.9472e+06,0,3.93216e+06,
1.43,0,0,0,3.9472e+06,0,3.93216e+06,
1.44,0,0,0,3.9472e+06,0,3.93216e+06,
1.45,0,0,0,3.9472e+06,0,3.93216e+06,
1.46008,0,0,0,3.9472e+06,0,3.93216e+06,
1.47,0,0,0,3.9472e+06,0,3.93216e+06,
1.48,0,0,0,3.9472e+06,0,3.93216e+06,
1.49,0,0,0,3.9472e+06,0,3.93216e+06,
1.50006,0,0,0,3.9472e+06,0,3.93216e+06,
1.51,0,0,0,3.9472e+06,0,3.93216e+06,
1.52,0,0,0,3.9472e+06,0,3.93216e+06,
1.53,0,0,0,3.9472e+06,0,3.93216e+06,
1.54,0,0,0,3.9472e+06,0,3.93216e+06,
1.55,0,0,0,3.9472e+06,0,3.93216e+06,
1.56,0,0,0,3.9472e+06,0,3.93216e+06,
1.57,0,0,0,3.9472e+06,0,3.93216e+06,
1.58008,0,0,0,3.9472e+06,0,3.93216e+06,
1.59,0,0,0,3.9472e+06,0,3.93216e+06,
1.6,0,0,0,3.9472e+06,0,3.93216e+06,
1.61,0,0,0,3.9472e+06,0,3.93216e+06,
1.62,0,0,0,3.9472e+06,0,3.93216e+06,
1.63,0,0,0,3.9472e+06,0,3.93216e+06,
1.64008,0,0,0,3.9472e+06,0,3.93216e+06,
1.65,0,0,0,3.9472e+06,0,3.93216e+06,
1.66006,0,0,0,3.9472e+06,0,3.93216e+06,
1.67,0,0,0,3.9472e+06,0,3.93216e+06,
1.68,0,0,0,3.9472e+06,0,3.93216e+06,
1.69,0,0,0,3.9472e+06,0,3.93216e+06,
1.70006,0,0,0,3.9472e+06,0,3.93216e+06,
