time [s],current,current2,servo1.currentSetpoint,servo1.pid_current.output,setpwm,
5e-07,-2,-3806,0,0,0,
0.02,0,-3746,0,0,0,
0.04,5,-3814,0,0,0,
0.06,-3,-3707,0,0,0,
0.08,0,-3727,0,0,0,
0.1,-17,-3833,0,0,0,
0.12,0,-3851,0,0,0,
0.14,-3,-3812,0,0,0,
0.16,-8,-3810,0,0,0,
0.18,-3,-3740,0,0,0,
0.2,-3,-3769,0,0,0,
0.22,-8,-3787,0,0,0,
0.24,4,-3855,0,0,0,
0.26,-7,-3814,0,0,0,
0.28,-10,-3770,0,0,0,
0.3,-4,-3807,0,0,0,
0.32,0,-3845,0,0,0,
0.34,0,-3755,0,0,0,
0.36,0,-3729,0,0,0,
0.38,-3,-3715,0,0,0,
0.4,-21,-3759,0,0,0,
0.42,-6,-3762,0,0,0,
0.44,-7,-3750,0,0,0,
0.46,1,-3783,0,0,0,
0.48,-15,-3806,0,0,0,
0.500006,-11,-3756,0,0,0,
0.52,-4,-3801,0,0,0,
0.54,-6,-3883,0,0,0,
0.56,0,-3806,0,0,0,
0.58,-8,-3823,0,0,0,
0.6,-9,-3813,0,0,0,
0.62,4,-3787,0,0,0,
0.64,2,-3743,0,0,0,
0.66,-3,-3822,0,0,0,
0.68,-9,-3817,0,0,0,
0.7,-4,-3804,0,0,0,
0.72,-7,-3869,0,0,0,
0.74,-3,-3919,0,0,0,
0.76,12,-3838,0,0,0,
0.78,-13,-3779,0,0,0,
0.8,-6,-3832,0,0,0,
0.82,-50,-3816,0,0,0,
0.84,-13,-3691,0,0,0,
0.86,-17,-3678,0,0,0,
0.88,-1,-3765,0,0,0,
0.9,-8,-3694,0,0,0,
0.92,2,-3695,0,0,0,
0.94,3,-3690,0,0,0,
0.96,7,-3725,0,0,0,
0.98,-8,-3729,0,0,0,
1,-10,-3744,0,0,0,
1.02,-2,-3753,0,0,0,
1.04,-20,-3758,0,0,0,
1.06,-18,-3765,0,0,0,
1.08,-14,-3775,0,0,0,
1.1,2,-3754,0,0,0,
1.12,8,-3793,0,0,0,
1.14,-1,-3772,0,0,0,
1.16,5,-3747,0,0,0,
1.18,-8,-3786,0,0,0,
1.2,1,-3795,0,0,0,
1.22,-3,-3811,0,0,0,
1.24,-4,-3712,0,0,0,
1.26,2,-3798,0,0,0,
1.28,-5,-3798,0,0,0,
1.3,0,-3799,0,0,0,
1.32,-6,-3806,0,0,0,
1.34,0,-3701,0,0,0,
1.36,-10,-3785,0,0,0,
1.38,6,-3775,0,0,0,
1.4,-2,-3790,0,0,0,
1.42,0,-3787,0,0,0,
1.44,-7,-3800,0,0,0,
1.46,-7,-3751,0,0,0,
1.48,-7,-3797,0,0,0,
1.5,1,-3803,0,0,0,
1.52,2,-3750,0,0,0,
1.54,-4,-3781,0,0,0,
1.56,-16,-3737,0,0,0,
1.58,-3,-3794,0,0,0,
1.6,-1,-3805,0,0,0,
1.62,-3,-3855,0,0,0,
1.64,-2,-3827,0,0,0,
1.66,1,-3791,0,0,0,
1.68,8,-3890,0,0,0,
1.7,0,-3844,0,0,0,
1.72,-10,-3756,0,0,0,
1.74,6,-3802,0,0,0,
1.76,-10,-3775,0,0,0,
1.78,-6,-3809,0,0,0,
1.8,4,-3768,0,0,0,
1.82,-8,-3825,0,0,0,
1.84,-1,-3763,0,0,0,
1.86,-7,-3746,0,0,0,
1.88,-2,-3769,0,0,0,
1.9,5,-3750,0,0,0,
1.92,-44,-3815,0,0,0,
1.94,1,-3805,0,0,0,
1.96,2,-3860,0,0,0,
1.98,-2,-3813,0,0,0,
2,3,-3756,0,0,0,
2.02,-13,-3781,0,0,0,
2.04,0,-3798,0,0,0,
2.06,1,-3806,0,0,0,
2.08,2,-3847,0,0,0,
2.1,3,-3859,0,0,0,
2.12,-4,-3814,0,0,0,
2.14,1,-3807,0,0,0,
2.16,-6,-3738,0,0,0,
2.18,4,-3761,0,0,0,
2.2,5,-3743,0,0,0,
2.22,-2,-3707,0,0,0,
2.24,-3,-3824,0,0,0,
2.26,-13,-3778,0,0,0,
2.28,-11,-3772,0,0,0,
2.3,-2,-3777,0,0,0,
2.32,-10,-3823,0,0,0,
2.34,-8,-3805,0,0,0,
2.36,6,-3836,0,0,0,
2.38,-15,-3814,0,0,0,
2.4,-5,-3770,0,0,0,
2.42,-11,-3758,0,0,0,
2.44,-15,-3782,0,0,0,
2.46,-9,-3825,0,0,0,
2.48,1,-3843,0,0,0,
2.5,-7,-3787,0,0,0,
2.52,-7,-3745,0,0,0,
