time [s],current,servo1.encoder.angularVelocity,servo1.velocitySetpoint,servo2.encoder.angularVelocity,velocity_ic,
3e-07,0,-632175,-3.7358e+06,0,0,
0.02,0,-2.42673e+06,-5.28098e+06,0,0,
0.04,0,-3.89648e+06,-6.74286e+06,0,0,
0.06,0,-5.4619e+06,-8.09841e+06,0,0,
0.08,0,-6.90994e+06,-9.32624e+06,0,0,
0.1,0,-8.44227e+06,-1.0407e+07,0,0,
0.12,0,-9.69401e+06,-1.13236e+07,0,0,
0.14,0,-1.03486e+07,-1.20617e+07,0,0,
0.16,0,-1.15021e+07,-1.26095e+07,0,0,
0.18,0,-1.2473e+07,-1.29706e+07,0,0,
0.2,0,-1.29457e+07,-1.31031e+07,0,0,
0.22,0,-1.3223e+07,-1.3041e+07,0,0,
0.24,0,-1.3512e+07,-1.27733e+07,0,0,
0.26,0,-1.33831e+07,-1.22755e+07,0,0,
0.28,0,-1.30602e+07,-1.1641e+07,0,0,
0.3,0,-1.26621e+07,-1.07942e+07,0,0,
0.32,0,-1.17612e+07,-9.7772e+06,0,0,
0.34,0,-1.08774e+07,-8.54372e+06,0,0,
0.36,0,-9.81046e+06,-7.29908e+06,0,0,
0.38,0,-8.63924e+06,-5.87705e+06,0,0,
0.4,0,-7.38343e+06,-4.36233e+06,0,0,
0.42,0,-5.9455e+06,-2.77882e+06,0,0,
0.44,0,-4.12873e+06,-1.15148e+06,0,0,
0.46,0,-2.25245e+06,411707,0,0,
0.48,0,-514688,2.05042e+06,0,0,
0.5,0,1.18671e+06,3.65679e+06,0,0,
0.52,0,2.60102e+06,5.2055e+06,0,0,
0.54,0,4.06978e+06,6.67211e+06,0,0,
0.56,0,5.64554e+06,8.09841e+06,0,0,
0.58,0,6.99788e+06,9.26819e+06,0,0,
0.6,0,8.42778e+06,1.03567e+07,0,0,
0.62,0,9.80705e+06,1.12819e+07,0,0,
0.64,0,1.09604e+07,1.20292e+07,0,0,
0.66,0,1.19436e+07,1.25868e+07,0,0,
0.68,0,1.24044e+07,1.29458e+07,0,0,
0.7,0,1.31515e+07,1.31007e+07,0,0,
0.72,0,1.33566e+07,1.3049e+07,0,0,
0.74,0,1.36181e+07,1.27915e+07,0,0,
0.76,0,1.35373e+07,1.23323e+07,0,0,
0.78,0,1.31308e+07,1.16786e+07,0,0,
0.8,0,1.27283e+07,1.08407e+07,0,0,
0.82,0,1.181e+07,9.7772e+06,0,0,
0.84,0,1.07687e+07,8.66795e+06,0,0,
0.86,0,9.7718e+06,7.36734e+06,0,0,
0.88,0,8.72257e+06,5.95054e+06,0,0,
