time [s], adc1, current1, current1_filtered, filt, voltage,
4e-07,123,0.00598362,0.00618992,0.00627596,0.196777,
0.0016385,128,0.00661002,0.00618992,0.0062096,0.196533,
0.0034338,125,0.00537976,0.00618992,0.00619609,0.197266,
0.0048655,128,0.00618992,0.00639872,0.00627758,0.197266,
0.0062659,129,0.00704014,0.00639872,0.00646537,0.199463,
0.0076963,128,0.00498971,0.00618992,0.00627966,0.199707,
0.0090465,128,0.00639872,0.00618992,0.00621526,0.199707,
0.0103975,124,0.00704014,0.00639872,0.00619974,0.200195,
0.0117528,123,0.00704014,0.00661002,0.00636365,0.200928,
0.0132363,126,0.00577983,0.00639872,0.00645413,0.201172,
0.0145858,128,0.00639872,0.00618992,0.00628646,0.202148,
0.0160205,127,0.00682383,0.00618992,0.00623147,0.201416,
0.0173846,128,0.00661002,0.00639872,0.00620602,0.201904,
0.018753,128,0.00335843,0.00639872,0.00634429,0.202148,
0.0204167,129,0.0077041,0.00618992,0.00638863,0.201904,
0.022121,128,0.00498971,0.00618992,0.00625227,0.200684,
0.0235258,127,0.00725895,0.00618992,0.00621166,0.200195,
0.0248834,128,0.00661002,0.00639872,0.00625586,0.198975,
0.0262265,127,0.00498971,0.00639872,0.00636603,0.198486,
0.0275564,123,0.00725895,0.00618992,0.00625599,0.196533,
0.0290202,128,0.00661002,0.00598362,0.00611885,0.19873,
0.0303583,127,0.00682383,0.00618992,0.00606246,0.196777,
0.0316928,129,0.00639872,0.00639872,0.0062065,0.196045,
0.0330339,128,0.00704014,0.00639872,0.00636987,0.195312,
0.0343716,128,0.00537976,0.00618992,0.00634898,0.195068,
0.0357307,124,0.00661002,0.00618992,0.00623983,0.195312,
0.0371278,129,0.00682383,0.00639872,0.0062114,0.195801,
0.0385493,126,0.00618992,0.00639872,0.00631808,0.196289,
0.0398959,128,0.00704014,0.00639872,0.00638027,0.195557,
0.0412959,130,0.00537976,0.00618992,0.00630852,0.195068,
0.0426908,120,0.00682383,0.00618992,0.00623127,0.197021,
0.0441146,128,0.00639872,0.00639872,0.0062286,0.197266,
0.0455351,124,0.00661002,0.00639872,0.0063394,0.195801,
0.0468951,130,0.00661002,0.00661002,0.0063801,0.196533,
0.0482743,127,0.00661002,0.00639872,0.00642841,0.192627,
0.0496904,128,0.00618992,0.00639872,0.0064071,0.191895,
0.0510499,125,0.00661002,0.00639872,0.00640273,0.19043,
0.0525637,129,0.00725895,0.00661002,0.00644012,0.184326,
0.0542669,128,0.00725895,0.00661002,0.00657854,0.181641,
0.0558511,128,0.00661002,0.00639872,0.00652846,0.18042,
0.0572406,131,0.00577983,0.00618992,0.00644898,0.182373,
0.058629,128,0.00704014,0.00639872,0.00639927,0.182617,
0.0601407,128,0.00682383,0.00661002,0.00643902,0.18042,
0.0615737,124,0.00815926,0.00639872,0.00646401,0.180176,
0.0630163,130,0.00639872,0.00618992,0.0064192,0.177979,
0.0643693,130,0.00557854,0.00618992,0.00627875,0.179199,
0.0657334,128,0.00577983,0.00639872,0.00632217,0.180176,
0.0670806,128,0.00682383,0.00639872,0.0063812,0.180664,
0.0684998,129,0.00577983,0.00639872,0.00639659,0.172119,
0.0700213,128,0.00704014,0.00639872,0.00639811,0.171143,
0.0714286,129,0.00682383,0.00639872,0.00639851,0.171631,
0.0728555,127,0.00661002,0.00661002,0.00639867,0.172852,
0.0742066,130,0.00537976,0.00639872,0.0064113,0.173584,
0.0755617,121,0.00577983,0.00639872,0.00640267,0.172607,
0.0772524,128,0.00518348,0.00639872,0.00639995,0.171387,
0.0786527,130,0.00748027,0.00661002,0.00645633,0.174805,
0.0800347,128,0.00793043,0.00639872,0.00653081,0.182861,
0.0813705,128,0.00557854,0.00639872,0.00644017,0.184082,
0.0830171,128,0.0077041,0.00639872,0.0064082,0.167969,
0.0844024,129,0.00725895,0.00639872,0.00640325,0.171143,
0.0858506,128,0.00598362,0.00661002,0.006529,0.163086,
0.0873631,125,0.00661002,0.00639872,0.00645151,0.149658,
0.0890868,128,0.00577983,0.00618992,0.0063143,0.136475,
0.0905813,123,0.00682383,0.00639872,0.00633112,0.136475,
0.0920411,128,0.00682383,0.00661002,0.00649997,0.155029,
0.093652,128,0.00682383,0.00639872,0.00647939,0.160645,
0.0950407,123,0.00661002,0.00618992,0.0063003,0.163574,
0.0964004,128,0.00682383,0.00618992,0.00623743,0.164307,
0.0977438,126,0.00704014,0.00639872,0.0063254,0.164307,
0.0990775,129,0.00793043,0.00661002,0.00651334,0.153564,
0.100418,127,0.00460967,0.00661002,0.0065939,0.143799,
0.10185,128,0.00725895,0.00639872,0.00647648,0.140381,
0.103227,127,0.00682383,0.00661002,0.0065312,0.139893,
0.104658,129,0.00682383,0.00682383,0.00665881,0.138184,
0.106133,120,0.00748027,0.00661002,0.00678188,0.13623,
0.107573,115,0.00577983,0.00661002,0.00664627,0.134033,
0.109018,128,0.00639872,0.00661002,0.00652485,0.134277,
0.110439,127,0.00682383,0.00682383,0.0066017,0.134033,
