time [s],current,servo1.encoder.angularVelocity,servo1.velocitySetpoint,
3e-07,7066,6.30756e+06,0,
0.01,7074,6.39302e+06,0,
0.02,6816,6.4349e+06,0,
0.03,6943,6.56095e+06,0,
0.04,6928,6.62272e+06,0,
0.0500001,7070,6.68465e+06,0,
0.06,6850,6.60946e+06,0,
0.0700001,6895,6.64649e+06,0,
0.08,7138,6.84394e+06,0,
0.0900001,6935,6.86692e+06,0,
0.1,6985,6.87814e+06,0,
0.11,7016,6.77814e+06,0,
0.12,7106,6.90846e+06,0,
0.13,7090,6.86681e+06,0,
0.14,7171,6.77259e+06,0,
0.15,7200,6.8319e+06,0,
0.16,7308,6.68165e+06,0,
0.17,7280,6.57634e+06,0,
0.18,7079,6.63026e+06,0,
0.19,7082,6.47727e+06,0,
0.2,7203,6.47624e+06,0,
0.21,7058,6.47569e+06,0,
0.22,7095,6.40159e+06,0,
0.23,7163,6.47076e+06,0,
0.24,6956,6.50465e+06,0,
0.25,7000,6.41576e+06,0,
0.26,6980,6.48518e+06,0,
0.27,6890,6.64979e+06,0,
0.28,6969,6.66621e+06,0,
0.29,7013,6.70594e+06,0,
0.3,7018,6.79924e+06,0,
0.31,6801,6.73948e+06,0,
0.32,6931,6.78403e+06,0,
0.33,6993,6.91138e+06,0,
0.34,7139,6.9738e+06,0,
0.35,7171,6.89885e+06,0,
0.36,7276,6.91359e+06,0,
0.37,7170,6.84413e+06,0,
0.38,7404,6.86702e+06,0,
0.39,7227,6.77265e+06,0,
0.4,7203,6.72645e+06,0,
0.41,7179,6.70381e+06,0,
0.42,7396,6.61885e+06,0,
0.430023,7074,6.57721e+06,0,
0.44,7138,6.55685e+06,0,
0.45,7224,6.51519e+06,0,
0.46,6988,6.52642e+06,0,
0.47,6994,6.53192e+06,0,
0.48,6976,6.42912e+06,0,
0.49,7063,6.52648e+06,0,
0.5,6862,6.63749e+06,0,
0.51,6988,6.66016e+06,0,
0.52,6977,6.67133e+06,0,
0.53,6780,6.85616e+06,0,
0.54,6931,6.76737e+06,0,
0.55,6845,6.90318e+06,0,
0.56,7046,6.86429e+06,0,
0.57,7127,6.84519e+06,0,
0.58,6952,6.94137e+06,0,
0.59,7025,6.98844e+06,0,
0.6,7073,7.01154e+06,0,
0.61,7304,6.84345e+06,0,
0.62,7102,6.72948e+06,0,
0.63,7090,6.88466e+06,0,
0.64,7126,6.60198e+06,0,
0.65,7232,6.71666e+06,0,
0.66,7094,6.62514e+06,0,
0.67,7111,6.5487e+06,0,
0.68,7148,6.5112e+06,0,
0.69,6922,6.62994e+06,0,
0.7,7055,6.47715e+06,0,
0.71,7009,6.47618e+06,0,
0.72,7110,6.58114e+06,0,
0.73,6866,6.52714e+06,0,
0.74,6994,6.67998e+06,0,
0.75,7001,6.68104e+06,0,
0.76,6908,6.78704e+06,0,
0.77,6952,6.80734e+06,0,
0.78,7025,6.81728e+06,0,
0.79,6964,6.9277e+06,0,
0.8,7142,6.98174e+06,0,
0.81,7122,6.90278e+06,0,
0.82,7021,6.96953e+06,0,
0.83,7103,6.92846e+06,0,
0.84,7263,6.98211e+06,0,
0.85,7243,6.90296e+06,0,
0.86,7128,6.79026e+06,0,
0.87,7223,6.84062e+06,0,
0.88,7263,6.68588e+06,0,
0.89,7284,6.68394e+06,0,
0.9,7073,6.60911e+06,0,
0.91,7219,6.64626e+06,0,
0.92,7025,6.59068e+06,0,
0.93,7095,6.53175e+06,0,
0.94,6988,6.50287e+06,0,
0.95,7077,6.59426e+06,0,
0.96,7041,6.53356e+06,0,
0.97,6841,6.68313e+06,0,
0.98,7070,6.68259e+06,0,
0.99,6916,6.78782e+06,0,
1,6809,6.80772e+06,0,
1.01,6916,6.92295e+06,0,
1.02,6935,6.87398e+06,0,
1.03,7005,6.95541e+06,0,
1.04,7081,6.99536e+06,0,
1.05,7042,7.01495e+06,0,
1.06,7033,7.02449e+06,0,
1.07,7171,6.95539e+06,0,
1.08,7328,6.92149e+06,0,
1.09,7352,6.87322e+06,0,
1.1,7217,6.77573e+06,0,
1.11,7109,6.72796e+06,0,
1.12,7130,6.59904e+06,0,
1.13,7194,6.60974e+06,0,
1.14,7026,6.64656e+06,0,
1.15,7206,6.55919e+06,0,
1.16,7155,6.51634e+06,0,
1.17,6923,6.60086e+06,0,
1.18,7021,6.5684e+06,0,
1.19,6989,6.62637e+06,0,
1.2,6993,6.54924e+06,0,
1.21,6940,6.79635e+06,0,
1.22,6914,6.73801e+06,0,
1.23,6923,6.81501e+06,0,
1.24,6944,6.85271e+06,0,
1.25,6911,6.94505e+06,0,
1.26,6969,6.99024e+06,0,
1.27,7016,7.01243e+06,0,
1.28,7017,7.02326e+06,0,
1.29,7122,7.0286e+06,0,
1.3,7170,7.03124e+06,0,
1.31,7050,6.927e+06,0,
1.32,7212,6.90756e+06,0,
1.33,7199,6.79256e+06,0,
1.34,7220,6.81004e+06,0,
1.35,7109,6.6393e+06,0,
1.36,7155,6.62941e+06,0,
1.37,7212,6.65626e+06,0,
1.38,7094,6.56388e+06,0,
1.39,7151,6.62416e+06,0,
1.4,7095,6.57981e+06,0,
1.41,6980,6.52648e+06,0,
1.42,6911,6.60579e+06,0,
1.43,6993,6.64469e+06,0,
1.44,7034,6.76923e+06,0,
1.45,6927,6.72478e+06,0,
1.46,6861,6.88237e+06,0,
1.47,7128,6.88569e+06,0,
1.48,7041,6.85568e+06,0,
1.49,7002,6.94649e+06,0,
1.5,6932,6.99101e+06,0,
1.51,7058,7.01276e+06,0,
1.52,7002,7.02346e+06,0,
1.53,7203,7.02872e+06,0,
1.54,7130,7.03124e+06,0,
1.55,7151,6.92704e+06,0,
1.56,7055,6.87594e+06,0,
1.57,7268,6.777e+06,0,
1.58,7191,6.69692e+06,0,
1.59,7142,6.68935e+06,0,
1.6,7139,6.65399e+06,0,
1.61,7155,6.69991e+06,0,
1.62,7248,6.61698e+06,0,
1.63,6914,6.54464e+06,0,
1.64,7260,6.61472e+06,0,
1.65,6961,6.64901e+06,0,
1.66,6809,6.69751e+06,0,
1.67,7025,6.76347e+06,0,
1.68,6939,6.82749e+06,0,
1.69,7000,6.80579e+06,0,
1.7,7008,6.87415e+06,0,
1.71,6878,6.95556e+06,0,
1.72,7009,6.99539e+06,0,
1.73,6965,7.01495e+06,0,
1.74,7170,7.09837e+06,0,
1.75,7091,7.06541e+06,0,
1.76,7159,7.04928e+06,0,
1.77,7164,6.9675e+06,0,
1.78,7223,7.00124e+06,0,
1.79,7142,6.91234e+06,0,
1.8,7219,6.90038e+06,0,
1.81,7183,6.8207e+06,0,
1.82,7252,6.7816e+06,0,
1.83,7236,6.76248e+06,0,
1.84,7094,6.54212e+06,0,
1.85,7135,6.58185e+06,0,
1.86,7081,6.6329e+06,0,
1.87,7175,6.5525e+06,0,
1.88,6891,6.61852e+06,0,
1.89,7058,6.65093e+06,0,
1.9,6964,6.77228e+06,0,
1.91,6838,6.72627e+06,0,
1.92,6928,6.77754e+06,0,
1.93,6849,6.9082e+06,0,
1.94,6972,6.86669e+06,0,
1.95,7200,6.9519e+06,0,
1.96,6956,7.09914e+06,0,
1.97,7188,7.06579e+06,0,
1.98,6928,7.04946e+06,0,
1.99,7182,7.0414e+06,0,
2,7203,6.93198e+06,0,
2.01,7147,6.98388e+06,0,
2.02,7063,7.00933e+06,0,
2.03,7284,6.84238e+06,0,
2.04,7240,6.76062e+06,0,
2.05,7336,6.79439e+06,0,
2.06,7160,6.66327e+06,0,
2.07,7268,6.6728e+06,0,
2.08,7130,6.70917e+06,0,
2.09,6935,6.51598e+06,0,
2.1,6933,6.67452e+06,0,
2.11,6994,6.60447e+06,0,
2.12,7094,6.71792e+06,0,
2.13,6866,6.69957e+06,0,
2.14,6943,6.79618e+06,0,
2.15,7038,6.81182e+06,0,
2.16,7018,6.92502e+06,0,
2.17,6904,6.90661e+06,0,
2.18,6890,6.9714e+06,0,
2.19,6944,7.0032e+06,0,
2.2,7081,7.09261e+06,0,
2.21,7110,7.06259e+06,0,
2.22,7324,7.04789e+06,0,
2.23,7021,7.04064e+06,0,
2.24,7227,6.93164e+06,0,
2.25,7336,6.98367e+06,0,
2.26,7401,6.82985e+06,0,
2.27,7099,6.82832e+06,0,
2.28,7255,6.64825e+06,0,
2.29,7115,6.73933e+06,0,
2.3,7313,6.60461e+06,0,
2.31,7079,6.61247e+06,0,
2.32,7066,6.64792e+06,0,
2.33,7033,6.66533e+06,0,
2.34,6976,6.70551e+06,0,
2.35,6969,6.69355e+06,0,
2.36,6907,6.68764e+06,0,
2.37,6977,6.86415e+06,0,
2.38,6977,6.84512e+06,0,
2.39,6961,6.94132e+06,0,
2.4,6904,6.91458e+06,0,
2.41,6988,7.04919e+06,0,
2.42,7061,7.04131e+06,0,
2.43,7146,7.11128e+06,0,
2.44,6952,7.07174e+06,0,
2.45,7067,7.05238e+06,0,
2.46,7106,7.04283e+06,0,
2.47,7243,7.0382e+06,0,
2.48,7328,7.03594e+06,0,
2.49,7388,6.8554e+06,0,
2.5,7102,6.767e+06,0,
2.51,7276,6.90306e+06,0,
2.52,7195,6.82195e+06,0,
2.53,7111,6.78226e+06,0,
2.54,7054,6.73116e+06,0,
2.55,7046,6.73778e+06,0,
2.56,7123,6.70931e+06,0,
2.57,7146,6.72706e+06,0,
2.58,6940,6.67245e+06,0,
2.59,6968,6.75119e+06,0,
2.6,7000,6.82141e+06,0,
2.61,6878,6.9297e+06,0,
2.62,6850,6.98276e+06,0,
2.63,6867,7.00872e+06,0,
2.64,6904,7.02148e+06,0,
2.65,7139,7.02775e+06,0,
2.66,7094,7.10466e+06,0,
2.67,7267,7.14233e+06,0,
2.68,7087,7.08695e+06,0,
2.69,7174,7.16531e+06,0,
2.7,7287,6.99269e+06,0,
2.71,7488,7.01364e+06,0,
2.72,7244,6.91837e+06,0,
2.73,7223,6.90334e+06,0,
2.74,7219,6.86432e+06,0,
2.75,7175,6.77137e+06,0,
2.76,7252,6.8313e+06,0,
2.77,7146,6.78684e+06,0,
2.78,7118,6.76505e+06,0,
2.79,7126,6.72273e+06,0,
2.8,7037,6.70193e+06,0,
2.81,6955,6.76568e+06,0,
2.82,6899,6.82851e+06,0,
2.83,6994,6.82766e+06,0,
2.84,7148,6.93278e+06,0,
2.85,7012,6.91041e+06,0,
2.86,7018,7.04714e+06,0,
2.87,6919,7.04033e+06,0,
2.88,7211,7.1108e+06,0,
2.89,7128,7.07146e+06,0,
2.9,7256,7.12612e+06,0,
2.91,6948,7.1845e+06,0,
2.92,7013,7.10763e+06,0,
2.93,7155,7.06991e+06,0,
2.94,7160,6.94598e+06,0,
2.95,7260,6.88516e+06,0,
2.96,7260,6.85546e+06,0,
2.97,7074,6.87251e+06,0,
2.98,7273,6.77538e+06,0,
2.99,7159,6.72773e+06,0,
3,7001,6.77832e+06,0,
3.01,7049,6.72917e+06,0,
3.02,7012,6.81068e+06,0,
3.03,7070,6.74503e+06,0,
3.04,6907,6.81846e+06,0,
3.05,6927,6.85437e+06,0,
3.06,6886,6.94587e+06,0,
3.07,7070,6.99064e+06,0,
3.08,6948,7.01262e+06,0,
3.09,6997,7.02341e+06,0,
3.1,6796,7.02864e+06,0,
3.11,7070,7.10508e+06,0,
3.12,7009,7.14259e+06,0,
3.13,7098,7.08704e+06,0,
3.14,7304,7.16533e+06,0,
3.15,7207,6.99274e+06,0,
3.16,7063,7.01361e+06,0,
3.17,7094,6.9184e+06,0,
3.18,7328,6.90337e+06,0,
3.19,7128,6.7588e+06,0,
3.2,6981,6.688e+06,0,
3.21,7082,6.75881e+06,0,
3.22,7098,6.71967e+06,0,
