time [s], current1, filt,current1_filtered,
5e-07,0.00815926,3.36312e-44,0.0083906,
0.01,0.00704014,7.00649e-45,0.00704014,
0.02,0.00725895,2.8026e-44,0.00725895,
0.03,0.0077041,4.62428e-44,0.00682383,
0.04,0.0077041,2.24208e-44,0.0077041,
0.0500001,0.0077041,4.62428e-44,0.0077041,
0.06,0.00748027,2.8026e-45,0.00748027,
0.0700001,0.00748027,3.08286e-44,0.00815926,
0.08,0.0077041,0,0.00748027,
0.0900001,0.0077041,1.4013e-44,0.00793043,
0.1,0.0077041,3.92364e-44,0.00793043,
0.11,0,3.78351e-44,0,
0.12,0,3.36312e-44,0,
0.13,0,3.92364e-44,0,
0.14,0,4.06377e-44,0,
0.15,0,4.76441e-44,0,
0.16,0,8.40779e-45,0,
0.17,0.00149891,2.10195e-44,0.0016401,
0.18,0.00207869,3.50325e-44,0.00222989,
0.19,0.00192999,0,0.00192999,
0.2,0.00222989,1.68156e-44,0.00253981,
0.21,0.0023836,3.92364e-44,0.0023836,
0.22,0.00192999,1.68156e-44,0.00253981,
0.23,0.00269852,3.78351e-44,0.00302347,
0.24,0.00207869,7.00649e-45,0.00253981,
0.25,0.00207869,4.2039e-44,0.00269852,
0.26,0.00192999,7.00649e-45,0.00192999,
0.27,0.00222989,4.06377e-44,0.00269852,
0.28,0.00253981,1.4013e-45,0.00253981,
0.29,0.00253981,1.82169e-44,0.00269852,
0.3,0.00207869,3.92364e-44,0.00222989,
0.31,0.00253981,1.4013e-45,0.00269852,
0.32,0.00222989,2.66247e-44,0.0023836,
0.33,0.00269852,4.76441e-44,0.00222989,
0.34,0.0023836,1.82169e-44,0.0023836,
0.35,0.00302347,3.64338e-44,0.00302347,
0.36,0.0023836,1.68156e-44,0.00302347,
0.37,0.00253981,3.64338e-44,0.00269852,
0.38,0.00207869,2.8026e-45,0.00269852,
0.39,0.00253981,2.94273e-44,0.00302347,
0.4,0.00285974,3.64338e-44,0.00335843,
0.41,0.00253981,8.40779e-45,0.00269852,
0.42,0.0023836,2.8026e-44,0.00253981,
0.43,0.0023836,1.4013e-45,0.0023836,
0.44,0.00253981,1.68156e-44,0.00285974,
0.45,0.0023836,4.06377e-44,0.00253981,
0.46,0.00253981,2.8026e-45,0.00253981,
0.47,0.00253981,2.8026e-44,0.0031897,
0.48,0.00269852,4.62428e-44,0.00253981,
0.49,0.00285974,1.68156e-44,0.00335843,
0.5,0.0031897,4.62428e-44,0.00285974,
0.51,0.0023836,8.40779e-45,0.00302347,
0.52,0.00302347,3.22299e-44,0.0031897,
0.53,0.00269852,5.60519e-45,0.00302347,
0.54,0.00269852,2.94273e-44,0.00335843,
0.55,0.00302347,4.62428e-44,0.00269852,
0.56,0.00302347,9.80909e-45,0.00335843,
0.57,0.00302347,3.64338e-44,0.00335843,
0.58,0.00253981,7.00649e-45,0.00285974,
0.59,0.00352967,3.22299e-44,0.00352967,
0.6,0.00269852,1.4013e-45,0.00387965,
0.61,0.00302347,1.4013e-44,0.00335843,
0.62,0.0031897,4.62428e-44,0.00285974,
0.63,0.00285974,2.24208e-44,0.00370341,
0.64,0.00335843,4.76441e-44,0.00285974,
0.65,0.00352967,2.8026e-44,0.00370341,
0.66,0.0031897,4.62428e-44,0.00285974,
0.67,0.00285974,1.82169e-44,0.00352967,
0.68,0.00335843,4.34403e-44,0.00335843,
0.69,0.00302347,7.00649e-45,0.00352967,
0.7,0.0031897,2.52234e-44,0.00370341,
0.71,0.00285974,1.4013e-45,0.0031897,
0.72,0.00302347,1.12104e-44,0.00302347,
0.73,0.0031897,3.08286e-44,0.00387965,
0.74,0.00335843,0,0.00335843,
0.75,0.0031897,1.82169e-44,0.00335843,
0.76,0.00387965,4.06377e-44,0.0040584,
0.77,0.00302347,4.2039e-45,0.00335843,
0.78,0.00352967,2.10195e-44,0.0040584,
0.79,0.00335843,3.50325e-44,0.00370341,
0.8,0.00387965,4.62428e-44,0.0031897,
0.81,0.00302347,1.54143e-44,0.00352967,
0.82,0.0031897,4.2039e-44,0.00335843,
0.83,0.00285974,7.00649e-45,0.00370341,
0.84,0.0031897,2.38221e-44,0.0040584,
0.85,0.00335843,4.48416e-44,0.00302347,
0.86,0.00335843,8.40779e-45,0.00335843,
0.87,0.0031897,1.68156e-44,0.00335843,
0.88,0.00370341,4.62428e-44,0.00335843,
0.89,0.00370341,2.38221e-44,0.00442341,
0.9,0.00352967,4.62428e-44,0.00285974,
0.91,0.00285974,2.8026e-45,0.0031897,
0.92,0.00335843,3.08286e-44,0.00442341,
0.93,0.0031897,2.8026e-45,0.0031897,
0.94,0.00335843,1.68156e-44,0.00335843,
0.95,0.00335843,3.50325e-44,0.00387965,
0.96,0.0031897,7.00649e-45,0.0031897,
0.97,0.0031897,3.64338e-44,0.00460967,
0.98,0.00335843,9.80909e-45,0.00370341,
0.99,0.00352967,4.2039e-44,0.00370341,
1,0.00335843,5.60519e-45,0.00387965,
1.01,0.00387965,2.38221e-44,0.0040584,
1.02,0.00352967,1.4013e-45,0.00370341,
1.03,0.00335843,1.54143e-44,0.00352967,
1.04,0.0040584,3.92364e-44,0.0040584,
1.05,0.00352967,8.40779e-45,0.00370341,
1.06,0.00335843,2.38221e-44,0.0040584,
1.07,0.00352967,4.2039e-44,0.00423965,
1.08,0.00370341,7.00649e-45,0.00370341,
1.09,0.00387965,3.64338e-44,0.00442341,
1.1,0.00335843,4.2039e-45,0.00370341,
1.11,0.00352967,2.66247e-44,0.00352967,
1.12,0.00423965,4.2039e-44,0.00423965,
1.13,0.0040584,4.2039e-45,0.00423965,
1.14,0.00387965,2.94273e-44,0.00460967,
1.15,0.0040584,4.48416e-44,0.00352967,
1.16,0.00423965,7.00649e-45,0.00479844,
1.17,0.00460967,3.22299e-44,0.00498971,
1.18,0.00387965,5.60519e-45,0.0040584,
1.19,0.00442341,2.94273e-44,0.00460967,
1.2,0.00460967,4.76441e-44,0.00442341,
1.21,0.00442341,1.26117e-44,0.00460967,
1.22,0.00460967,3.08286e-44,0.00460967,
1.23,0.00460967,4.62428e-44,0.00479844,
1.24,0.00442341,1.12104e-44,0.00442341,
1.25,0.00460967,3.64338e-44,0.00479844,
1.26,0.00460967,2.8026e-45,0.00460967,
1.27,0.00518348,2.24208e-44,0.00518348,
1.28,0.00442341,0,0.00442341,
1.29,0.00498971,2.24208e-44,0.00577983,
1.3,0.00518348,3.78351e-44,0.00518348,
1.31,0.00498971,1.26117e-44,0.00518348,
1.32,0.00577983,4.06377e-44,0.00598362,
1.33,0.00479844,4.2039e-45,0.00537976,
1.34,0.00577983,3.50325e-44,0.00598362,
1.35,0.00479844,2.8026e-45,0.00479844,
1.36,0.00498971,1.4013e-44,0.00557854,
1.37,0.00537976,3.92364e-44,0.00598362,
1.38,0.00498971,9.80909e-45,0.00498971,
1.39,0.00577983,4.48416e-44,0.00557854,
1.4,0.00557854,4.2039e-45,0.00557854,
1.41,0.00661002,3.50325e-44,0.00661002,
1.42,0.00557854,0,0.00557854,
1.43,0.00618992,1.82169e-44,0.00661002,
1.44,0.00661002,4.2039e-44,0.00725895,
1.45,0.00661002,9.80909e-45,0.00661002,
1.46,0.00661002,3.22299e-44,0.00682383,
1.47,0.00639872,0,0.00639872,
1.48,0.00618992,2.10195e-44,0.00682383,
1.49,0.00639872,4.2039e-44,0.00661002,
1.5,0.00661002,1.12104e-44,0.00682383,
1.51,0.00661002,4.06377e-44,0.00704014,
1.52,0.00598362,9.80909e-45,0.00618992,
1.53,0.00661002,3.64338e-44,0.00661002,
1.54,0.00661002,1.4013e-45,0.00618992,
1.55,0.00598362,9.80909e-45,0.00618992,
1.56,0.00748027,3.78351e-44,0.00748027,
1.57,0.00661002,1.68156e-44,0.00725895,
1.58,0.00704014,4.34403e-44,0.00748027,
1.59,0.00682383,1.54143e-44,0.0077041,
1.6,0.00704014,4.2039e-44,0.0077041,
1.61,0.00577983,1.26117e-44,0.00598362,
1.62,0.00387965,2.66247e-44,0.00442341,
1.63,0.00352967,4.76441e-44,0.00352967,
1.64,0.0200315,1.96182e-44,0.020368,
1.65,0.0702394,4.48416e-44,0.0696374,
1.66,0.0626093,4.2039e-45,0.0631812,
1.67,0.0603467,3.22299e-44,0.061473,
1.68,0.0491256,4.48416e-44,0.0501467,
1.69,0.0242349,2.66247e-44,0.0242349,
1.7,0.0242349,4.62428e-44,0.0227937,
1.71,0.0238708,1.12104e-44,0.0276241,
1.72,0.0908241,3.08286e-44,0.0921958,
1.73,0.110939,4.48416e-44,0.110187,
1.74,0.111694,4.62428e-44,0.106464,
