time [s],current,servo1.encoder.angularVelocity,servo1.velocitySetpoint,
5e-07,0.015764,27.832,0,
0.01,0.016768,30.5176,0,
0.02,0.0147756,30.7617,0,
0.03,0.0152947,31.0059,0,
0.04,0.0189947,33.6914,0,
0.0500001,0.0173407,27.832,0,
0.06,0.0174316,31.0059,0,
0.0700001,0.0175754,33.6914,0,
0.08,0.0183183,31.0059,0,
0.0900001,0.0176542,27.5879,0,
0.1,0.0165879,31.0059,0,
0.11,0.0162081,30.5176,0,
0.12,0.016723,27.832,0,
0.13,0.0158,27.5879,0,
0.14,0.0159782,30.5176,0,
0.15,0.0186856,30.7617,0,
0.16,0.0176566,27.832,0,
0.17,0.0194346,27.832,0,
0.18,0.0177812,31.0059,0,
0.19,0.0174389,30.7617,0,
0.2,0.0176407,30.5176,0,
0.21,0.0172266,30.7617,0,
0.22,0.0158299,27.832,0,
0.23,0.0184216,27.832,0,
0.24,0.0154828,30.5176,0,
0.25,0.0175331,30.7617,0,
0.26,0.0165832,30.7617,0,
0.27,0.0168098,30.7617,0,
0.280002,0.0179155,33.6914,0,
0.29,0.0181048,30.5176,0,
0.3,0.0178467,27.5879,0,
0.31,0.0176104,27.5879,0,
0.32,0.0178141,27.5879,0,
0.33,0.0177103,27.5879,0,
0.34,0.0171661,30.7617,0,
0.35,0.0154483,27.5879,0,
0.36,0.016141,24.4141,0,
0.37,0.0160778,27.832,0,
0.38,0.0153769,27.832,0,
0.39,0.0175199,27.5879,0,
0.4,0.0172574,27.5879,0,
0.41,0.0162456,27.5879,0,
0.42,0.0187888,27.5879,0,
0.43,0.0188976,30.7617,0,
0.44,0.0170066,30.7617,0,
0.45,0.0183377,30.7617,0,
0.46,0.0162387,30.7617,0,
0.47,0.0182577,31.0059,0,
0.48,0.0191601,30.5176,0,
0.49,0.0172281,27.5879,0,
0.5,0.0160677,27.5879,0,
0.51,0.0157453,27.5879,0,
0.52,0.0164726,30.7617,0,
0.53,0.0162114,30.7617,0,
0.54,0.0164958,30.7617,0,
0.55,0.0172399,30.5176,0,
0.56,0.0158529,30.7617,0,
0.57,0.0168299,27.5879,0,
0.58,0.0164537,30.5176,0,
0.59,0.0159758,30.7617,0,
0.6,0.0176637,27.5879,0,
0.61,0.0190918,24.6582,0,
0.62,0.0189021,27.832,0,
0.63,0.0183323,30.5176,0,
0.64,0.0172027,30.7617,0,
0.65,0.0184137,30.5176,0,
0.66,0.0191165,30.7617,0,
0.67,0.0172235,31.0059,0,
0.68,0.0168105,24.9023,0,
0.69,0.0178512,30.7617,0,
0.7,0.0173516,30.7617,0,
0.71,0.0176397,30.5176,0,
0.72,0.0160373,30.7617,0,
0.73,0.0174047,30.7617,0,
0.74,0.0176746,24.4141,0,
0.75,0.0167433,30.7617,0,
0.76,0.0162893,30.7617,0,
0.77,0.016297,27.832,0,
0.78,0.0155198,30.7617,0,
0.79,0.0165767,27.5879,0,
0.8,0.0176151,30.7617,0,
0.81,0.0172607,27.5879,0,
0.82,0.0154596,31.0059,0,
0.83,0.0164153,30.7617,0,
0.84,0.0164538,24.4141,0,
0.85,0.0159523,27.5879,0,
0.86,0.0164504,27.832,0,
0.87,0.0166937,31.0059,0,
0.88,0.0157427,27.5879,0,
0.89,0.016041,30.7617,0,
0.9,0.0159913,27.832,0,
0.91,0.0171628,31.0059,0,
0.92,0.0186101,30.7617,0,
0.93,0.0190907,27.5879,0,
0.94,0.0182139,24.4141,0,
0.95,0.018204,31.0059,0,
0.96,0.019086,27.5879,0,
0.97,0.0179656,27.5879,0,
0.98,0.0175936,27.832,0,
0.99,0.0181821,30.5176,0,
1,0.0192887,24.4141,0,
1.01,0.0185165,27.5879,0,
1.02,0.0174558,24.9023,0,
1.03,0.0190081,27.832,0,
1.04,0.0187982,27.5879,0,
1.05,0.0176912,24.4141,0,
1.06,0.018221,30.7617,0,
1.07,0.0185034,24.4141,0,
1.08,0.0162559,30.7617,0,
1.09,0.0173771,27.5879,0,
1.1,0.0183852,27.832,0,
1.11,0.0166549,27.5879,0,
1.12,0.0170736,27.5879,0,
1.13,0.0177804,24.6582,0,
1.14,0.0172683,27.5879,0,
1.15,0.0180424,27.5879,0,
1.16,0.017379,27.832,0,
1.17,0.0171599,27.5879,0,
1.18,0.0186964,27.5879,0,
1.19,0.0171136,27.5879,0,
1.2,0.0177697,27.832,0,
1.21,0.0176775,27.5879,0,
1.22,0.0174222,27.5879,0,
1.23,0.0175824,27.5879,0,
1.24,0.0173704,27.5879,0,
1.25,0.0190585,30.7617,0,
1.26,0.0188147,27.832,0,
1.27,0.0158659,24.4141,0,
1.28,0.0182368,30.7617,0,
1.29,0.0178159,27.5879,0,
1.3,0.0168656,24.4141,0,
1.31,0.0174201,27.832,0,
1.32,0.0177047,27.832,0,
1.33,0.0184799,27.5879,0,
1.34,0.017372,30.7617,0,
1.35,0.0180624,27.832,0,
1.36,0.0180504,24.4141,0,
1.37,0.0162491,30.7617,0,
1.38,0.0179831,27.5879,0,
1.39,0.018516,30.7617,0,
1.4,0.0168064,30.7617,0,
1.41,0.0188129,24.6582,0,
1.42,0.0186516,27.5879,0,
1.43,0.018805,27.832,0,
1.44,0.0178503,27.5879,0,
1.45,0.0185225,27.5879,0,
1.46,0.0188752,27.5879,0,
1.47,0.0185292,30.7617,0,
1.48,0.0180658,27.5879,0,
1.49,0.0179105,24.6582,0,
1.5,0.0179852,27.5879,0,
1.51,0.0180891,27.5879,0,
1.52,0.0187581,27.5879,0,
1.53,0.018473,27.5879,0,
1.54,0.01887,27.832,0,
1.55,0.0199624,27.5879,0,
1.56,0.0183638,27.5879,0,
1.57,0.0177161,30.5176,0,
1.58,0.0177619,27.5879,0,
1.59,0.0173699,24.6582,0,
1.6,0.0155569,24.4141,0,
1.61,0.0170706,24.9023,0,
1.62,0.0154567,24.9023,0,
1.63,0.0166924,24.4141,0,
1.64,0.0153043,24.4141,0,
1.65,0.0150682,24.6582,0,
1.66,0.0149886,24.4141,0,
1.67,0.0162909,24.6582,0,
1.68,0.0161003,27.5879,0,
1.69,0.0157777,24.6582,0,
1.7,0.0175421,24.4141,0,
1.71,0.0177891,24.4141,0,
1.72,0.0152971,24.9023,0,
1.73,0.015331,24.4141,0,
1.74,0.0152703,24.6582,0,
1.75,0.0166698,24.6582,0,
1.76,0.015424,27.5879,0,
1.77,0.0175992,27.832,0,
1.78,0.0170445,27.5879,0,
1.79,0.0161908,31.0059,0,
1.8,0.0167907,27.5879,0,
1.81,0.0165864,27.832,0,
1.82,0.0179467,27.5879,0,
1.83,0.0183663,27.832,0,
1.84,0.0170703,27.832,0,
1.85,0.0172523,27.5879,0,
1.86,0.0180142,27.832,0,
1.87,0.0179557,27.5879,0,
1.88,0.0176261,24.9023,0,
1.89,0.0191895,24.4141,0,
1.9,0.0186061,27.5879,0,
1.91,0.0181065,27.5879,0,
1.92,0.0187315,24.4141,0,
1.93,0.01892,27.832,0,
1.94,0.0158789,27.5879,0,
1.95,0.0162596,24.9023,0,
1.96,0.0165885,27.5879,0,
1.97,0.0159884,24.9023,0,
1.98,0.0153509,24.4141,0,
1.99,0.0162295,27.5879,0,
2,0.0165879,24.6582,0,
2.01,0.0156959,27.5879,0,
2.02,0.01683,27.5879,0,
2.03,0.0157377,27.5879,0,
2.04,0.0146296,24.6582,0,
2.05,0.0167318,24.4141,0,
2.06,0.0173231,27.832,0,
2.07,0.0159951,27.5879,0,
2.08,0.0165217,27.5879,0,
2.09,0.0179177,24.6582,0,
