time [s],adc[0],current,servo1.currentSetpoint,setpwm,
4e-07,85,0,0,0,
0.0038144,83,0,0,0,
0.0072027,123,0,0,0,
0.010759,97,0,0,0,
0.0141583,82,0,0,0,
0.0175932,89,0,0,0,
0.021332,76,0,0,0,
0.0251238,85,0,0,0,
0.0289847,97,0,0,0,
0.0323465,96,0,0,0,
0.035896,69,0,0,0,
0.0394936,100,0,0,0,
0.0433203,85,0,0,0,
0.0466836,95,0,0,0,
0.0501648,108,0,0,0,
0.0537869,113,0,0,0,
0.0576764,110,0,0,0,
0.0611695,82,0,0,0,
0.0645324,102,0,0,0,
0.0678551,90,0,0,0,
0.0714583,71,0,0,0,
0.0749283,73,0,0,0,
0.0783371,84,0,0,0,
0.0816569,79,0,0,0,
0.0849676,90,0,0,0,
0.0889175,80,0,0,0,
0.0926483,89,0,0,0,
0.0959839,73,0,0,0,
0.0993554,92,0,0,0,
0.103129,97,0,0,0,
0.10681,84,0,0,0,
0.11032,78,0,0,0,
0.113672,98,0,0,0,
0.117035,75,0,0,0,
0.120905,83,0,0,0,
0.124482,84,0,0,0,
0.127925,98,0,0,0,
0.13143,86,0,0,0,
0.135042,87,0,0,0,
0.138604,103,0,0,0,
0.142112,87,0,0,0,
0.145502,89,0,0,0,
0.149234,98,0,0,0,
0.152793,111,0,0,0,
0.156839,92,0,0,0,
0.160329,97,0,0,0,
0.163861,111,0,0,0,
0.167486,92,0,0,0,
0.171038,76,0,0,0,
0.174487,122,0,0,0,
0.177824,117,0,0,0,
0.181434,97,0,0,0,
0.184845,97,0,0,0,
0.189914,94,0,0,0,
0.193357,77,0,0,0,
0.197006,97,0,0,0,
0.200484,104,0,0,0,
0.204011,75,0,0,0,
0.207553,77,0,0,0,
0.211349,90,0,0,0,
0.214824,72,0,0,0,
0.218325,116,0,0,0,
0.222524,94,0,0,0,
0.226072,95,0,0,0,
0.229688,119,0,0,0,
0.233152,78,0,0,0,
0.236668,97,0,0,0,
0.240161,128,0,0,0,
0.243834,61,0,0,0,
0.247194,92,0,0,0,
0.250663,107,0,0,0,
0.254457,84,0,0,0,
0.258327,109,0,0,0,
0.261841,92,0,0,0,
0.265212,96,0,0,0,
0.268702,95,0,0,0,
0.272352,77,0,0,0,
0.276166,87,0,0,0,
0.279505,98,0,0,0,
0.282964,89,0,0,0,
0.286498,70,0,0,0,
0.290555,94,0,0,0,
0.294116,82,0,0,0,
0.297495,83,0,0,0,
0.300993,103,0,0,0,
0.304855,87,0,0,0,
0.308439,84,0,0,0,
0.311839,68,0,0,0,
0.315329,106,0,0,0,
0.318912,87,0,0,0,
0.322951,91,0,0,0,
0.326368,62,0,0,0,
0.329834,103,0,0,0,
0.333327,89,0,0,0,
0.337843,84,0,0,0,
0.341526,89,0,0,0,
0.34505,117,0,0,0,
0.348523,100,0,0,0,
0.352354,117,0,0,0,
0.356208,95,0,0,0,
0.359708,77,0,0,0,
0.363166,99,0,0,0,
0.366714,65,0,0,0,
0.370361,101,0,0,0,
0.373979,112,0,0,0,
0.3775,92,0,0,0,
0.381147,69,0,0,0,
0.384571,130,0,0,0,
0.389356,97,0,0,0,
0.393018,108,0,0,0,
0.396881,123,0,0,0,
0.400395,107,0,0,0,
0.404045,108,0,0,0,
